Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2017/9/13,4.597049167,2.545974989,2.623468784,1.405371202,1.710729307,2.217631575,1.052910847,1.578292971,2.006119304,0.928959123,2.316144914,1.948594897,1.774684252,2.261455279,2.326204531,1.426557773,2.462563208,2.094019084,2.523222341,2.12714001,1.499256337
2017/9/14,5.520664335,2.605942595,2.589232193,1.811725965,2.367840213,2.312330215,1.180954862,1.718426956,2.331381579,1.974042879,2.779147122,1.573037701,1.94818395,2.0910107,2.061531597,1.085537437,2.081955374,2.29419719,2.980132722,2.01851919,1.549603315
2017/9/15,5.604608541,2.611620622,2.573601258,1.808708821,2.202514236,2.28226234,1.178818214,2.073278269,2.004604553,2.131088143,2.750691712,1.606017934,2.046559773,2.755330609,1.998136275,1.012785408,2.11204748,2.912163493,2.990655472,2.213708375,0.531021151
2017/9/18,4.985668415,2.651472405,2.629621371,2.196321957,2.129896258,1.969364458,1.348220192,1.945344483,2.171333238,2.289187015,1.895988906,1.943352255,1.391370369,2.298267731,1.653471771,1.667939004,1.646849076,2.14160039,2.569166185,2.737992289,1.719229848
2017/9/19,4.17352942,1.796412427,1.753443991,1.783975408,1.885191897,1.862859451,0.756298128,1.319144568,2.404083688,2.423390707,1.894482921,1.253890018,1.405791654,2.175779526,1.368847396,1.533982421,1.697864702,1.915784405,1.928909913,1.58103536,1.496027967
2017/9/20,3.922848426,2.910994435,2.878805906,1.305888152,1.819040277,2.722493918,1.720328037,2.223156215,1.930568863,1.324958276,1.851796295,1.9256384,1.413977901,1.717316759,2.776074007,0.963385626,2.769699749,2.672348007,2.839603208,2.854335333,1.67496798
2017/9/21,4.525749268,2.533675276,2.501701277,2.652049247,2.768634427,1.991288691,1.319648004,2.044890502,1.943412351,2.123175876,1.5246185,1.273793815,1.36583321,1.724715072,1.943173158,1.226870542,2.137971871,1.778713388,2.286685711,1.474782109,2.035648645
2017/9/22,4.163584951,1.974025692,1.931227048,1.792236244,2.060249041,1.555814576,1.157492645,1.63720219,2.031094542,2.248629358,2.509980908,1.957249102,1.653396239,1.557588609,1.714630396,1.552612578,1.874948259,2.220933728,2.503281786,2.181923009,1.250261724
2017/9/25,4.392641632,3.021093042,3.054920513,1.257611429,2.242007854,2.510818277,1.898362857,2.4458352,1.986075571,1.590761301,1.838964071,1.827051667,1.747432233,2.745457531,1.875427603,1.730545553,2.307045103,2.366498521,2.47681255,1.900937812,1.864558214
2017/9/26,3.376984463,2.952624598,2.966519079,2.892694314,2.933319883,2.170900451,1.348949689,1.983580966,1.387498524,1.525952249,1.801729466,1.962431557,1.445749177,2.415302119,2.221305603,1.60387513,2.313460333,2.307163594,2.182449895,2.053309709,1.884572891
2017/9/27,4.524912649,2.62597815,2.596710586,2.175917021,2.350837598,2.269641767,1.982645085,2.484571637,1.417320431,1.295554061,1.881085803,1.688171633,1.339983392,1.958394194,2.036831094,0.643054907,2.04297026,2.350206029,2.126672465,2.61664645,1.480000197
2017/9/28,3.837787554,2.371302204,2.302308397,1.887526053,2.157947412,1.973742342,1.283218688,1.627453266,1.405955055,1.731925471,1.663087498,1.350815347,1.255797408,2.317532542,1.988060052,1.825476974,2.079774225,2.274668843,2.261174909,2.259156259,1.979913904
2017/9/29,3.887261266,2.592886445,2.59468315,1.678987356,2.27725801,1.778236716,1.654154644,2.033747656,2.089424783,1.571764841,2.254302745,2.258349219,2.277069249,2.112508231,1.364959587,2.139801657,1.763917903,1.669068997,2.064761276,2.32385533,1.774588993
2017/10/9,4.337029326,2.23654311,2.220990025,1.827671914,2.205153044,1.32219812,1.52747052,1.545123119,2.53431547,1.927345644,1.522065445,1.547268583,1.747533589,2.121587443,0.993809107,1.808856425,1.28605482,1.454872081,2.254416942,1.164150756,2.065809541
2017/10/10,3.617038659,2.417826633,2.375991733,1.316844724,1.936350299,2.033255336,1.540732318,2.093011,2.595349277,2.184495501,1.791533344,1.842299639,1.478032305,2.287866944,2.010920986,1.609490334,2.125703717,2.149178567,2.113219432,1.873320052,2.178249308
2017/10/11,3.371564845,2.148132114,2.090515292,1.794764017,2.416909952,1.773503689,1.187710496,1.518728466,2.093955235,1.804009643,1.538401861,1.510163233,1.835852729,2.475533195,1.769489395,1.409942263,1.971185551,1.660630352,1.634830621,1.969628615,1.783942367
2017/10/12,4.940795271,2.014955824,1.958241376,2.116620922,2.002657332,1.793768431,1.149881942,1.553351733,1.765564276,1.44398427,1.774851259,1.622778857,1.41687025,2.012733704,1.681630136,1.043559955,1.616589246,1.395393007,2.681231118,1.640594283,1.239755258
